"CRASH_ID","UNIT_NBR","PRSN_NBR","CHARGE","CITATION_NBR"
14840841,1,1,"DWI",""
14840875,1,1,"FAIL TO DRIVE IN SINGLE LANE","TX4ICJ0UVZ1N"
14840901,1,1,"NO INSURANCE","138012944"
14840901,1,1,"FAIL TO DRIVE IN SINGLE LANE","138012944"
14840905,1,1,"FAIL TO CONTROL SPEED","WW296894"
14840908,1,1,"BACKING NOT IN SAFETY","SO-EE944993"
14840911,1,1,"CHANGED LANE WHEN UNSAFE","EE0914816"
14840919,1,1,"FMFR","5044422"
14840921,2,1,"FOLLOW TOO CLOSE","L125540"
14840930,1,1,"FAIL TO MAINTAIN SINGLE LANE","133142353"
14840934,1,1,"FAIL TO YIELD RIGHT OF WAY","EE0951902"
14840941,1,1,"DRIVING WHILE INTOXICATED","HC160001457"
14840943,1,1,"NO DRIVERS LICENSE","91054756"
14840943,1,1,"FMFR","91054756"
14840993,1,1,"DISREGARD RED LIGHT","TX4ID80PUSZ1"
14840998,1,1,"NO INSURANCE","138409677"
14840998,1,1,"FAIL TO MAINTAIN SINGLE MARKED LANE","138409677"
14841006,1,1,"FAIL TO CONTROL SPEED","234781"
14841018,1,1,"FAIL TO YIELD RIGHT OF WAY TURNING LEFT","E014952"
14841018,2,1,"FAIL TO MAINTAIN FININCIAL RESPONSIBILITY","E014951"
14841018,2,1,"NO DL","E014951"
14841039,1,1,"FAIL TO CONTROL SPEED ACC","138440014"
14841046,1,1,"DWI",""
14841055,1,1,"EXPIRED DL","C21-639460-02"
14841055,2,1,"NO DL","C21-638611-02"
14841061,1,1,"DWI","2016-BCSO-000035"
14841071,1,1,"DWLI","S554250"
14841074,1,1,"N O L","M048663"
14841080,1,1,"FAIL TO YIELD ROW/CA","18-874118"
14841080,2,1,"NO LICENSE","18-874119"
14841092,1,1,"ACCIDENT","138373742"
14841166,1,1,"FAILURE TO CONTROL SPEED","051916"
14841171,1,1,"RUN RED LIGHT","420928"
14841278,1,1,"VIOLATE RESTRICTION A (NO CORRECTIVE LENSES)","052392"
14841278,1,1,"UNSAFE SPEED","052392"
14841354,1,1,"DRIVING WHILE LICENSE INVALID","S682819"
14841469,1,1,"DRIVING WHILE INTOXICATED",""
14841503,1,1,"FAILURE TO CONTROL SPEED - ACC","138550745"
14841507,1,1,"DISREGARD STOP SIGN","1141404"
14841518,1,1,"DISREGARD RED LIGHT","1146593"
14841522,1,1,"DRIVING WHIE INTOXICATED",""
14841528,1,1,"FAILED TO YIELD RIGHT OF WAY","C4-EE207851"
14841547,1,1,"FAIL TO MAINT FINANCIAL RESPONSIBILITY","EE0021742"
14841547,2,1,"NO DRIVERS LICENSE","EE0021743"
14841547,2,1,"FAIL TO MAINT FINANCIAL RESPONSIBILITY","EE0021743"
14841554,1,1,"TURNED WHEN UNSAFE","640971"
14841554,2,1,"FMFR","640972"
14841592,1,1,"DRIVING WHILE INTOXICATED",""
14841617,1,1,"FAILED TO YIELD TO EMERGENCY VEHICLE","P0167150"
14841632,1,1,"DRIVING WHILE LICENSE SUSPENDED","H025967"
14841715,1,1,"FAILURE TO CONTROL SPEED","B150369"
14841717,1,1,"FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY","137928831"
14841717,1,1,"IMPROPER RESTRAINT FOR A CHILD","137928831"
14841717,1,1,"FAILED TO NOTIFY ADDRESS CHANGE","137928831"
14841717,2,1,"NO INSPECTION","137928847"
14841717,2,1,"NO REGISTRATION","137928847"
14841717,2,1,"FAILED TO NOTIFY ADDRESS CHANGE","137928847"
14841722,1,1,"RAN RED LIGHT","473320A"
14841722,1,1,"DL, NO CLASS ""C""","473320B"
14841728,1,1,"FAIL TO MAINTAIN FINANCIAL RESPONSIBILITY","TX4IE10UTQPY"
14841728,1,1,"FAIL TO REPORT NON-INJURY ACCIDENT AT ONCE","TX4IE10UTQPY"
14841728,1,1,"DRIVING WHILE LICENSE INVALID","TX4IE10UTQPY"
14841737,1,1,"FAIL TO MAINTAIN FINANCIAL RESPONSIBILITY","TX4IE80NBN3N"
14841737,1,1,"UNSAFE SPEED","TX4IE80NBN3N"
14841764,1,1,"FAIL TO CONTROL SPEED","E66966"
14841772,1,1,"FAILED TO CONTROL SPEED","138547841"
14841794,1,1,"DRIVING WHILE INTOXICATED","2016-0087"
14841801,1,1,"ACCIDENT INVOLVING DAMAGE","2016-114"
14841802,1,1,"DRIVING WHILE INTOXICATED","16-000091"
14841806,1,1,"FAIL TO DRIVE IN SINGLE LANE","EE0932498"
14841809,1,1,"PODP","M074338"
14841830,1,1,"NO DRIVERS LICENSE","632198"
14841830,1,1,"NO INSURANCE","632198"
14841830,2,1,"NO DRIVERS LICENSE","632197"
14841851,1,1,"FAILED TO CONTROL SPEED","G93697"
14841893,1,1,"FAIL TO CONTROL SPEED","K012550"
14841897,1,1,"FAIL TO CONTROL SPEED","TX4IE00UIOB2"
14841905,1,1,"DWLI","714179"
14841905,1,1,"FTMFR","714179"
14841936,1,1,"NO DRIVER'S LICENSE","K009538"
14841944,1,1,"FAILURE TO MAINTAIN FINANCIAL RESPONSIBILITY","007811"
14841944,1,1,"FAILURE TO CONTROL SPEED","007808"
14842022,1,1,"DRIVING WHILE INTOXICATED 1ST OFFENSE","TX4ID30ULYTM"
14842078,1,1,"DWI",""
14842081,1,1,"POSSESSION OF CONTROLLED SUBSTANCE",""
14842081,1,1,"DWI",""
14842083,1,1,"RAN RED LIGHT","15293081"
14842086,1,1,"DWI/POCS",""
14842122,1,1,"UNSAFE MOVEMENT - RIGHT, NO DRIVER LICENSE","14085832"
14842133,1,1,"FOLLOWED TOO CLOSELY-COLLISION","15439652"
14842135,1,1,"NO DRIVERS LICENSE","15220250"
14842135,1,1,"RAN STOP SIGN","15220250"
14842140,1,1,"UNSAFE SPEED (WEATHER CONDITIONS)","14154895"
14842144,1,1,"FTMACD",""
14842144,1,1,"NO DL",""
14842150,1,1,"DRIVING WHILE INTOXICATED",""
14842150,1,1,"UNLAWFUL CARRYING WEAPON",""
14842170,1,1,"DRIVING WHILE INTOXICATED","2015-000024"
14842183,1,1,"DWI",""
14842185,1,1,"DWI, LEAVING THE SCENE OF A COLLISION","BOOKED IN JAIL"
14842187,1,1,"FOLLOWING TO CLOSE-COLLISION","15297598"
14842191,1,1,"FAIL TO ASSURED CLEAR DISTANCE","14151070"
14842195,1,1,"DWI","160030361"
14842197,1,1,"FAILURE TO YIELD RIGHT OF WAY-LEFT TURN","13224016"
14842205,1,1,"NONE","NONE"
14842235,1,1,"FAIL TO CONTROL SPEED","E321116"
14842239,1,1,"NO VALID TEXAS DRIVER'S LICENSE","C21-686923"
14842252,1,1,"FAIL TO MAINTAIN ASSURED CLEAR DISTANCE","14155406"
14842263,1,1,"DISREGARD RED LIGHT","LPD#1035114"
14842278,1,1,"DRIVING WHILE INTOXICATED","HC 160001511"
14842298,1,1,"FAIL TO STOP AND RENDER AID  >= 200","2016-000085"
14842298,1,1,"DRIVING WHILE INTOXICATED","2016-000085"
14842301,1,1,"FAIL TO YIELD RIGHT OF WAY AT STOP INTERSECTION","TX 4IDE0SSU3V"
14842310,1,1,"FAIL TO MAINTAIN SINGLE LANE, NO DL","201600000381"
14842350,1,1,"NOL","L21076"
14842350,1,1,"RAN RED LIGHT","L21076"
14842355,2,1,"NO LIABILITY INSURANCE","M047681"
14842360,1,1,"FAILURE TO DISPLAY VALID LICENSE PLATE (EXPIRED 11/15/15)","S544605"
14842382,2,1,"FAIL TO CONTROL SPEED","L23017"
14842389,2,1,"NOL","M106957"
14842389,2,1,"NO INSUR","M106957"
14842405,1,1,"DRIVING WHILE LICENSE INVALID","TX4IE80SHV1S"
14842405,1,1,"FAIL TO DRIVE IN A SINGLE LANE","TX4IE80SHV1S"
14842423,1,1,"DWI 1ST","TX4IC60SHX8B"
14842445,1,1,"FAILED TO CONTROL SPEED","3345909"
14842445,2,1,"FAIL TO CONTROL SPEED","3345910"
14842449,1,1,"FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY","136681894"
14842449,1,1,"NO DL","136681894"
14842449,1,1,"FAILED TO CONTROL SPEED","136681894"
14842453,1,1,"FAIL TO CONTROL SPEED","3254155"
14842522,1,1,"STOP, STAND, PARK ON MAIN TRAVELED WAY","TX4IFB0HGIQA"
14842522,1,1,"NO DL/ FAIL TO MAINTAIN FINANCIAL RESPONSIBILITY","TX4ICE0HGIPV"
14842522,2,1,"NO SEAT BELT- DRIVER","TX4ICE0HGIPW"
14842529,1,1,"RAN RED LIGHT (ACC)","138317505"
14842539,1,1,"FAILURE TO CONTROL SPEED (ACC)","138474673"
14842539,1,1,"EXP REGISTRATION","138474673"
14842539,2,1,"FAILURE TO CONTROL SPEED (ACC)","138474664"
14842539,3,1,"FAILURE TO CONTROL SPEED (ACC)","138474682"
14842543,1,1,"FAIL TO YLD RIGHT OF WAY","EE0086093"
14842543,1,1,"RAN RED LIGHT","EE0086093"
14842583,1,1,"FAIL TO DRIVE IN SINGLE LANE (TRFC 545.060)","TX4IEF0SUIT5"
14842592,1,1,"FAIL TO YEILD RIGHT OF WAY","EE0148205"
14842595,1,1,"DRIVING WHILE INTOXICATED (PC.49.04)","TX4ICJ0SUQ6J"
14842602,1,1,"FYROW","10328127"
14842619,2,1,"FAIL TO CONTROL SPEED","AT10354658"
14842649,1,1,"FAIL MAINTAIN SINGLE LANE","15-55206"
14842649,1,1,"FAIL TO CONTROL SPEED","15-55206"
14842650,1,1,"PC49.04","16-234"
14842665,1,1,"FAILED TO YIELD RIGHT OF WAY (TRC 545.151(A))","TX4IEG0HHM29"
14842665,1,1,"NO DRIVER LICENSE (TRC 521.021)","TX4IEG0HHM29"
14842678,1,1,"DUTY ON STRIKING FIXTURE OR HIGHWAY LANDSCAPING","2016-0070"
14842690,2,1,"NOL-EXPIRED 04/14","P786748B"
14842720,1,1,"MINOR DUI, NO DL, NO INSURANCE, POSS OF MARIJUANA","GC923637"
14842720,1,1,"RAN RED LIGHT","KT329581"
14842733,1,1,"FYROW-TURNING LEFT","16240213"
14842739,1,1,"FTYROW CONTL INTERSECTION","T4295198"
14842750,1,1,"FAIL TO DRIVE IN SINGLE LANE","16500001"
14842757,1,1,"FYROW-STOP SIGN","16050001"
14842768,1,1,"NO DRIVER LICENSE","140911"
14842773,1,1,"FAILURE TO MAINTAIN SINGLE LANE","138419251"
14842776,1,1,"FTYROW PRIVATE DRIVE","4298945"
14842791,2,1,"FAIL TO CONTROL SPEED","TX4IC40FIVL3"
14842794,2,1,"VIOLATE DRIVER'S LICENSE RESTRICTION (B)","TX4IF20FIVLB"
14842794,2,1,"FAIL TO DRIVE IN A SINGLE LANE","TX4IF20FIVLB"
14842794,2,1,"FAIL TO MAINTAIN FINANCIAL RESPONSIBILITY","TX4IF20FIVLB"
14842817,1,1,"FSRA > $200.00 DAMAGE","TX4IDM0FYUGS"
14842817,1,1,"DRIVING WHILE INTOXICATED","TX4IDM0FYUGS"
14842824,2,1,"FAIL TO YIELD RIGHT OF WAY","18-876678"
14842829,1,1,"NO DRIVER LICENSE","TX4IDC0NGPDO"
14842829,1,1,"FAILED TO YIELD RIGHT OF WAY-STOP SIGN","TX4IDC0NGPDO"
14842830,1,1,"FAIL TO CONTROL SPEED","TX4ICJ0FYUGH"
14842839,1,1,"RED LIGHT VIOLATION","18-860202"
14842875,2,1,"RAN RED LIGHT, NO DRIVER LICENSE AND NO INSURANCE","137038991"
14842878,2,1,"FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY","138305781"
14842878,2,1,"NO DRIVER LICENSE","138305781"
14842878,2,1,"RAN RED STOP SIGN","138305781"
14842916,1,1,"FAIL TO CONTROL SPEED --- ACC","138518292"
14842923,1,1,"FAIL TO CONTROL SPEED","AT 10374724"
14842923,2,1,"FMFR","AT 10374725"
14842933,1,1,"NO DRIVER'S LICENSE","E019994"
14842940,1,1,"FAIL TO CONTROL SPEED","E019996"
14842947,1,1,"FAILED TO CONTROL SPEED","138249553"
14842947,1,1,"NO INSURANCE","138249553"
14842952,1,1,"FAILURE TO STOP AND GIVE INFO",""
14842953,1,1,"POSS CS PG 1",""
14842963,1,1,"NO DL","AT 10374726"
14842963,1,1,"THRU STOP SIGN","AT 10374726"
14842987,1,1,"FAILED TO CONTROL SPEED","444161"
14843028,1,1,"DRIVING WHILE INTOXICATED",""
14843038,1,1,"DWI",""
14843082,1,1,"DWI","160000034"
14843083,1,1,"NO VALID TEXAS DRIVER'S LICENSE","E00-119545"
14843087,1,1,"FAILURE TO YIELD RIGHT OF WAY (LEFT TURN) CAUSING ACCIDENT","18-872359"
14843087,2,1,"FAILURE TO MAINTAIN FINANCIAL RESPONSIBILITY","18-879658"
14843094,1,1,"FAILED TO YIELD RIGHT OF WAY STOP SIGN","A1106641"
14843104,1,1,"FSGI",""
14843104,1,1,"DWI",""
14843120,1,1,"DISREGARD RED LIGHT","484150A"
14843127,1,1,"DRIVING WHILE INTOXICATED","SAPD16002132"
14843129,1,1,"DRIVE WHILE LICENSE SUSPENDED","478435B"
14843129,1,1,"UNSAFE LANE CHANGE","478435A"
14843133,2,1,"NO DL","T000069932"
14843133,3,1,"NO DL","T000069933"
14843133,3,1,"FAILED TO CONTROL SPEED","T000069933"
